Institute,Course,Category,Mode,Level,Duration_Hours,Country,City,Certification_provided,Practice_Assignments,Doubt_Sessions,Internship_Provided,Placement_Assistance,rating,Recorded_videos,Trainer_Grade,Price
Analytics Vidya,Data Science,Data Science,Online,Intermediate,500,India,None,Yes,Yes,,Yes,Yes,NA,Yes,High,225000
Udemy,Web Development,Computer Science,Online,Intermediate,90,United Kingdom,Bedford,Yes,Yes,No,NO,No,4.6,Yes,High,3499
Udemy,Dot net developer,Computer Science,Online,Intermediate,29.5,NA,NA,Yes,Yes,No,No,No,4.7,Yes,Medium,5200
Udemy,Chief Financial Officer,Bussiness,Online,Intermediate,10.5,NA,NA,Yes,Yes,No,No,No,4.3,Yes,High,2299
Udemy,Online Marketing,Bussiness,Online,Intermediate,16,NA,NA,Yes,Yes,No,No,No,4.5,Yes,High,2299
Udemy,Ultimate AWS,IT,Online,Intermediate,27,NA,NA,Yes,Yes,No,No,No,,Yes,Medium,3499
Udemy,Arduino Bootcamp,Engineering,Online,Intermediate,9.5,NA,NA,Yes,Yes,No,No,No,4.4,Yes,High,3499
Udemy,Website Hacking,Computer Science,Online,Advance,10.5,NA,NA,Yes,Yes,No,No,No,4.6,Yes,Medium,3499
Udemy,Microsoft Excel,IT,Online,Intermediate,10,NA,NA,Yes,No,No,No,No,4.5,Yes,High,2299
Udemy,Mixing for Music Producers,Music,Online,Intermediate,6.5,NA,NA,Yes,Yes,No,No,No,4.6,Yes,Medium,1999
Udemy,Calculus Master,Math,Online,Intermediate,12.5,NA,NA,Yes,Yes,No,No,No,4.7,Yes,Medium,3499
Geeks for Geeks,Full Stack Development,Computer Science,Online,Intermediate,NA,NA,NA,Yes,Yes,No,No,Yes,5,Yes,Low,19999
Geeks for Geeks,Amazon SDE Preparation ,IT,Online,Intermediate,NA,NA,NA,Yes,Yes,No,No,No,5,Yes,NA,1499
Geeks for Geeks,DSA,IT,Online,Advance,NA,NA,NA,No,Yes,Yes,No,Yes,4.9,Yes,Medium,19999
Geeks for Geeks,System Design,Computer Science,Online,Advance,NA,NA,NA,Yes,Yes,No,No,No,5,Yes,High,19999
Geeks for Geeks,Data Science,Computer Science,Online,Intermediate,NA,NA,NA,Yes,Yes,No,No,Yes,NA,Yes,High,19999
Geeks for Geeks,JAVA Backend Development,Computer Science,Online,Advance,NA,NA,NA,Yes,Yes,No,No,Yes,5,Yes,High,19999
